,plot,siteID,watershedID,mean.height,height.2,mean.height.var,mean.height.rms,transect.length,mode.el,max.el,mode.2,max.can.ht,mean.max.ht,mean.vai,mean.peak.vai,deep.gaps,deep.gap.fraction,porosity,std.std,mean.std,rugosity,top.rugosity,mean.return.ht,sd.return.ht,sky.fraction,cover.fraction,max.ht,scan.density,rumple,clumping.index,enl
26,FERN_W3_08_3.CSV,FERN,W3,10.82166187,4.043974187,16.35372722,11.51713534,20,10.15,7.629939745,6.635431212,26.918,16.199,7.835761201,3.777140148,0,0,0.767857143,942.8720868,21.67987118,21.74523563,7.122714045,7.577597007,5.235541144,1.157705171,98.84229483,26.918,388.85,8.8,0.912751154,19.24829157
27,FERN_W3_08_4.CSV,FERN,W3,13.28904885,6.516316384,42.46237922,14.728818,20,12.8,7.36193217,7.722830133,25.879,18.4964,7.024116117,3.375914041,0,0,0.701851852,504.4330461,15.64786601,16.11140389,7.415428791,10.34130473,6.911957986,2.909898329,97.09010167,25.879,428,7.6,0.949672342,22.40363008
28,FERN_W4_03C_side.CSV,FERN,W4,17.78443873,6.19577696,38.38765213,18.80729171,40,17.275,6.596664547,7.61573102,31.8,23.8837,7.389101227,2.86238174,0,0,0.746212121,1376.812621,24.83133808,27.57203782,6.720259085,13.89928698,7.788164167,2.717391304,97.2826087,31.8,345.125,4.6,0.947106521,26.10490812
29,FERN_W4_03C_up.CSV,FERN,W4,19.56575726,4.382919458,19.20998297,20.03867736,40,19.6,5.920470703,7.527045254,34.51,26.180625,7.336472619,2.730486347,0,0,0.716666667,1888.500461,31.09972002,30.35305382,4.722254127,14.32285338,7.252075435,3.766803249,96.23319675,34.51,347.9,4.275,0.891040224,24.69792285
30,FERN_W4_04_up.CSV,FERN,W4,18.59023762,7.058513591,49.82261411,19.85381534,40,18.825,7.991430901,9.710917726,33.918,25.399875,7.852710218,3.147920439,0,0,0.720714286,3939.507169,46.38727699,42.28152909,9.068380539,13.00661815,8.965296628,0.174629785,99.82537022,33.918,358.025,5.55,0.952988952,28.61332585
31,FERN_W4_10A_1side.CSV,FERN,W4,12.47267666,5.769265103,33.28441983,13.70191965,30,12.76666667,6.848797713,6.836430473,31.871,18.99136667,7.709161293,2.951538454,0,0,0.741414141,317.0766278,14.34202017,10.55381852,6.678494681,8.12257811,5.341082917,0.405709992,99.59429001,31.871,443.8,5.466666667,0.904015044,22.5209622
32,FERN_W4_10A_1up.CSV,FERN,W4,9.7914981,4.791208078,22.95567484,10.87979763,50,10.48,7.806841779,6.437263964,26.407,14.04452,6.718550523,3.558001513,0,0,0.801481481,561.7841984,13.72684861,19.32246945,6.112109083,7.204881123,5.059247847,7.611931231,92.38806877,26.407,329.34,5.14,0.942720967,19.09197236
33,FERN_W4_11A-2.CSV,FERN,W4,10.37243652,5.044160789,25.44355806,11.47862446,20,11.45,5.407116078,8.611345026,34.612,16.0815,7.423844112,3.399129958,0,0,0.818055556,2687.080492,30.42576774,41.96847804,9.042026947,6.68255503,4.586766578,3.308935651,96.69106435,34.612,328.05,9.5,0.763013007,14.68006843
34,FERN_W4_11A-4.CSV,FERN,W4,10.65213477,3.530299379,12.4630137,11.16622978,10,9.7,7.267209517,3.267686916,21.492,12.5264,8,4.46113918,0,0,0.818181818,57.56327854,4.71112961,5.947145226,5.04553092,10.35315241,5.291199738,0,100,27.326,139.3,3.4,0.829341898,9.411764706
35,FERN_W7_06_1.CSV,FERN,W7,14.42889315,3.839040693,14.73823344,14.90618258,20,14.55,5.425591793,6.117059837,23.647,21.1999,7.707832033,2.998609757,0,0,0.602,851.602276,24.46583144,15.90677114,2.66906869,10.74574906,6.104857984,1.111544462,98.88845554,23.647,512.95,3.05,0.865308395,18.72387707
36,FERN_W7_10_1.CSV,FERN,W7,13.05042961,4.185424084,17.51777476,13.67317078,20,12.7,4.563220038,6.342006988,27.244,21.09435,7.79700761,2.760651316,0,0,0.626785714,1300.585817,28.67728343,21.86776695,5.091812802,7.719431538,4.781621922,1.439078989,98.56092101,27.244,469.2,4.65,0.911839592,22.80992167
37,FERN_W7_10_2.CSV,FERN,W7,13.85409265,5.623276821,31.62124221,14.89886114,20,15.2,5.983168471,8.134397399,25.253,17.8662,6.969976168,3.085565708,0,0,0.634615385,600.123543,18.02663092,16.58807163,6.206695897,10.62223783,6.781281341,4.202573486,95.79742651,25.253,423.7,3.3,0.923427373,21.03729604
38,FERN_W7_10_3.CSV,FERN,W7,14.34728405,5.018047819,25.18080392,15.15804484,20,15.75,6.042445815,6.197410325,26.571,18.32215,7.263460896,3.447022055,0,0,0.717857143,707.5823724,16.89941656,20.54244611,5.743372403,10.7227564,6.230754816,3.235294118,96.76470588,26.661,476.15,5.3,0.906162571,20.29593496
39,FERN_W7_10_4.CSV,FERN,W7,10.66849018,4.90057472,24.01563259,11.68894921,20,12.1,5.53169589,6.248368208,26.837,15.57045,7.771442612,3.210499701,0,0,0.689285714,637.5586249,18.03686512,17.67003457,6.964121076,6.363542022,5.201343633,0.325990319,99.67400968,26.837,506.3,5.9,0.820486524,18.99372647
