"siteID","date","plotID","subplotID","nestedSubplotID","tagID","supportingStemTagID","pointID","stemAzimuth","stemDistance","taxonID","identificationQualifier","growthForm","remarks","measurementHeight","scientificName","plotType","subtype"
"HARV","20150522","BART_034",41,3,"804","",51,85.2,7.6,"PIRU","","sbt","",NA,NA,"tower","basePlot"
"HARV","20150522","BART_034",41,3,"803","",51,66.4,8.6,"TSCA","","sbt","",NA,NA,"tower","basePlot"
"HARV","20150522","BART_034",41,NA,"802","",51,346.8,3.1,"BEAL2","","sbt","",NA,NA,"tower","basePlot"
"HARV","20150522","BART_034",41,NA,"801","",51,282.2,2.3,"PIRU","","sbt","No transcription errors",NA,NA,"tower","basePlot"
"HARV","20150522","BART_034",41,NA,"371","",50,114.8,9.3,"FAGR","","sbt","",NA,NA,"tower","basePlot"
"HARV","20150522","BART_034",41,NA,"367","",42,331,4.5,"TSCA","","sbt","",NA,NA,"tower","basePlot"
"HARV","20150522","BART_034",21,4,"805","",32,352.6,8.6,"ACRU","","mbt","",NA,NA,"tower","basePlot"
"HARV","20151002","HARV_043",21,4,"9538","",NA,NA,NA,"TSCA","","sap","",NA,NA,"tower","basePlot"
"HARV","20151002","HARV_043",21,4,"9537","",NA,NA,NA,"TSCA","","sap","",NA,NA,"tower","basePlot"
"HARV","20151002","HARV_043",21,NA,"9554","",23,279.4,3.3,"ACRU","cf. genus","sbt","dead",NA,NA,"tower","basePlot"
"HARV","20151002","HARV_043",39,1,"9553","",NA,NA,NA,"TSCA","","sap","",NA,NA,"tower","basePlot"
"HARV","20151002","HARV_043",39,1,"9536","",NA,NA,NA,"TSCA","","sap","",NA,NA,"tower","basePlot"
"HARV","20151020","HARV_041",39,3,"10808",NA,NA,NA,NA,"KALA","","smt","No transcription errors found",NA,NA,"tower","basePlot"
"HARV","20151020","HARV_041",39,3,"10809",NA,NA,NA,NA,"KALA","","sis","No transcription errors found",NA,NA,"tower","basePlot"
"HARV","20151021","HARV_041",23,2,"10810",NA,NA,NA,NA,"KALA","","sap","No transcription errors found",NA,NA,"tower","basePlot"
"HARV","20151021","HARV_041",23,2,"10811",NA,NA,NA,NA,"KALA","","sap","No transcription errors found",NA,NA,"tower","basePlot"
"HARV","20151021","HARV_041",23,2,"10812",NA,NA,NA,NA,"TSCA","","sap","No transcription errors found",NA,NA,"tower","basePlot"
"HARV","20151021","HARV_041",23,2,"10813",NA,NA,NA,NA,"KALA","","sap","No transcription errors found",NA,NA,"tower","basePlot"
"HARV","20151021","HARV_041",23,2,"10814",NA,NA,NA,NA,"KALA","","sap","No transcription errors found",NA,NA,"tower","basePlot"
"HARV","20151021","HARV_041",23,2,"10815",NA,NA,NA,NA,"KALA","","sap","No transcription errors found",NA,NA,"tower","basePlot"
"HARV","20151021","HARV_041",23,4,"10816",NA,NA,NA,NA,"KALA","","sap","No transcription errors found",NA,NA,"tower","basePlot"
"HARV","20151021","HARV_041",23,4,"10817",NA,NA,NA,NA,"KALA","","sap","No transcription errors found",NA,NA,"tower","basePlot"
"HARV","20151021","HARV_041",23,4,"9274A",NA,NA,NA,NA,"ACRU","","mbt","No transcription errors found",NA,NA,"tower","basePlot"
"HARV","20151021","HARV_041",23,4,"10818",NA,25,357.3,11.7,"ACRU","","sbt","No transcription errors found",NA,NA,"tower","basePlot"
"HARV","20151021","HARV_041",23,4,"10819",NA,43,262.1,4.2,"ACRU","","sbt","No transcription errors found",NA,NA,"tower","basePlot"
"HARV","20151021","HARV_041",23,4,"10820",NA,43,258.9,4.4,"TSCA","","sbt","No transcription errors found",NA,NA,"tower","basePlot"
"HARV","20151021","HARV_041",23,4,"10821",NA,23,83.8,1.1,"ACRU","","sbt","No transcription errors found",NA,NA,"tower","basePlot"
"HARV","20151021","HARV_041",23,4,"9302A",NA,NA,NA,NA,"TSCA","","mbt","No transcription errors found",NA,NA,"tower","basePlot"
"HARV","20151021","HARV_038",23,NA,"10822",NA,41,166,5.7,"TSCA","","sbt","No transcription errors found",NA,NA,"tower","basePlot"
"HARV","20151021","HARV_038",23,NA,"10823",NA,41,131.5,7.6,"TSCA","","sbt","No transcription errors found",NA,NA,"tower","basePlot"
"HARV","20151021","HARV_045",21,1,"10302",NA,NA,NA,NA,"PIST","","sap","",NA,NA,"tower","basePlot"
"HARV","20151021","HARV_045",21,1,"10303",NA,NA,NA,NA,"ACPE","","sap","",NA,NA,"tower","basePlot"
"HARV","20151021","HARV_045",21,1,"10304",NA,NA,NA,NA,"ACRU","","smt","",NA,NA,"tower","basePlot"
"HARV","20151021","HARV_045",21,1,"10305",NA,NA,NA,NA,"PIST","","sap","",NA,NA,"tower","basePlot"
"HARV","20151021","HARV_045",21,1,"10306",NA,NA,NA,NA,"PIST","","sap","",NA,NA,"tower","basePlot"
"HARV","20151021","HARV_045",21,1,"10307",NA,NA,NA,NA,"ACPE","","sap","",NA,NA,"tower","basePlot"
"HARV","20151021","HARV_045",21,1,"10308",NA,NA,NA,NA,"BELE","","smt","",NA,NA,"tower","basePlot"
"HARV","20151022","HARV_048",23,4,"10314",NA,NA,NA,NA,"TSCA","","sap","",NA,NA,"tower","basePlot"
"HARV","20151022","HARV_048",23,NA,"10315",NA,41,119.3,6.9,"TSCA","","sbt","",NA,NA,"tower","basePlot"
"HARV","20151022","HARV_048",23,NA,"10316",NA,23,61.4,9.8,"TSCA","","sbt","",NA,NA,"tower","basePlot"
"HARV","20151022","HARV_048",23,2,"10317",NA,25,298.3,2.2,"TSCA","","sbt","",NA,NA,"tower","basePlot"
"HARV","20151022","HARV_048",39,3,"13018",NA,57,141.5,2.1,"ACRU","","mbt","",NA,NA,"tower","basePlot"
"HARV","20151022","HARV_048",39,3,"10319",NA,57,110.7,2.4,"BELE","","smt","",NA,NA,"tower","basePlot"
"HARV","20151022","HARV_048",39,3,"10320",NA,57,104,2.4,"TSCA","","sbt","",NA,NA,"tower","basePlot"
"HARV","20151022","HARV_048",39,3,"10321",NA,57,110.4,3,"PIST","","sbt","",NA,NA,"tower","basePlot"
"HARV","20151022","HARV_048",39,3,"10322",NA,57,113.1,4.4,"BELE","","sbt","",NA,NA,"tower","basePlot"
"HARV","20151022","HARV_048",39,3,"10323",NA,57,97,6.9,"ACRU","","sbt","",NA,NA,"tower","basePlot"
"HARV","20151022","HARV_048",39,NA,"10324",NA,41,304.4,11.4,"ACRU","","sbt","no transcription errors found",NA,NA,"tower","basePlot"
"HARV","20151022","HARV_050",21,1,"10824",NA,NA,NA,NA,"TSCA","","smt","No transcription errors found",NA,NA,"tower","basePlot"
"HARV","20151022","HARV_050",21,1,"10825",NA,NA,NA,NA,"TSCA","","smt","No transcription errors found",NA,NA,"tower","basePlot"
"HARV","20151022","HARV_050",21,1,"10826",NA,NA,NA,NA,"TSCA","","smt","No transcription errors found",NA,NA,"tower","basePlot"
"HARV","20151022","HARV_050",21,1,"814A",NA,NA,NA,NA,"BELE","","mbt","Added 'A' tag to already tagged mbt. No transcription errors found",NA,NA,"tower","basePlot"
"HARV","20151022","HARV_050",21,1,"10827",NA,NA,NA,NA,"BELE","","smt","No transcription errors found",NA,NA,"tower","basePlot"
"HARV","20151022","HARV_050",21,1,"10828",NA,NA,NA,NA,"TSCA","cs","smt","No transcription errors found",NA,NA,"tower","basePlot"
"HARV","20151022","HARV_050",21,1,"10829",NA,NA,NA,NA,"TSCA","","smt","No transcription errors found",NA,NA,"tower","basePlot"
"HARV","20151022","HARV_050",21,1,"10830",NA,NA,NA,NA,"TSCA","","smt","No transcription errors found",NA,NA,"tower","basePlot"
"HARV","20151022","HARV_050",21,1,"10831",NA,NA,NA,NA,"TSCA","","smt","No transcription errors found",NA,NA,"tower","basePlot"
"HARV","20151022","HARV_050",21,1,"10833",NA,NA,NA,NA,"TSCA","","smt","No transcription errors found",NA,NA,"tower","basePlot"
"HARV","20151022","HARV_050",21,1,"10832",NA,NA,NA,NA,"TSCA","","sis","No transcription errors found",NA,NA,"tower","basePlot"
"HARV","20151022","HARV_050",21,4,"10834",NA,NA,NA,NA,"BEAL2","","smt","No transcription errors found",NA,NA,"tower","basePlot"
"HARV","20151022","HARV_050",21,NA,"10835",NA,23,271.5,5.6,"ACRU","","mbt","No transcription errors found",NA,NA,"tower","basePlot"
"HARV","20151022","HARV_050",21,NA,"10835A",NA,NA,NA,NA,"ACRU","","mbt","No transcription errors found",NA,NA,"tower","basePlot"
"HARV","20151022","HARV_050",21,NA,"10836",NA,21,0.1,10.7,"ACRU","","sbt","No transcription errors found",NA,NA,"tower","basePlot"
"HARV","20151022","HARV_050",41,1,"10837",NA,NA,NA,NA,"KALA","","smt","No transcription errors found",NA,NA,"tower","basePlot"
"HARV","20151022","HARV_050",41,1,"10838",NA,NA,NA,NA,"KALA","","smt","No transcription errors found",NA,NA,"tower","basePlot"
"HARV","20151022","HARV_050",41,4,"10839",NA,NA,NA,NA,"TSCA","","smt","No transcription errors found",NA,NA,"tower","basePlot"
"HARV","20151022","HARV_050",41,1,"10840",NA,NA,NA,NA,"TSCA","","sap","No transcription errors found",NA,NA,"tower","basePlot"
"HARV","20151022","HARV_050",41,NA,"10841",NA,43,356.5,4.6,"TSCA","","sbt","No transcription errors found",NA,NA,"tower","basePlot"
"HARV","20151022","HARV_052",23,NA,"10325",NA,NA,NA,NA,"FAGR","","smt","No transcription errors found",NA,NA,"tower","basePlot"
"HARV","20151022","HARV_052",23,NA,"10326",NA,NA,NA,NA,"FAGR","","sap","No transcription errors found",NA,NA,"tower","basePlot"
"HARV","20151022","HARV_052",23,NA,"10327",NA,NA,NA,NA,"FAGR","","sms","No transcription errors found",NA,NA,"tower","basePlot"
"HARV","20151022","HARV_052",23,NA,"10328",NA,NA,NA,NA,"FAGR","","smt","No transcription errors found",NA,NA,"tower","basePlot"
"HARV","20151022","HARV_052",23,NA,"10329",NA,NA,NA,NA,"TSCA","","smt","No transcription errors found",NA,NA,"tower","basePlot"
"HARV","20151022","HARV_052",23,NA,"10330",NA,NA,NA,NA,"TSCA","","smt","No transcription errors found",NA,NA,"tower","basePlot"
"HARV","20151022","HARV_052",23,NA,"10331",NA,NA,NA,NA,"TSCA","","smt","No transcription errors found",NA,NA,"tower","basePlot"
"HARV","20151022","HARV_052",23,NA,"10332",NA,NA,NA,NA,"TSCA","","smt","No transcription errors found",NA,NA,"tower","basePlot"
"HARV","20151022","HARV_052",23,NA,"10333",NA,NA,NA,NA,"TSCA","","sap","No transcription errors found",NA,NA,"tower","basePlot"
"HARV","20151022","HARV_052",23,NA,"10334",NA,NA,NA,NA,"TSCA","","sap","No transcription errors found",NA,NA,"tower","basePlot"
"HARV","20151022","HARV_052",23,NA,"10336",NA,NA,NA,NA,"TSCA","","smt","No transcription errors found",NA,NA,"tower","basePlot"
"HARV","20151022","HARV_052",23,NA,"10337",NA,NA,NA,NA,"ACPE","","smt","No transcription errors found",NA,NA,"tower","basePlot"
"HARV","20151022","HARV_052",41,NA,"10338",NA,NA,NA,NA,"TSCA","","smt","No transcription errors found",NA,NA,"tower","basePlot"
"HARV","20151022","HARV_052",41,NA,"10339",NA,NA,NA,NA,"TSCA","","smt","No transcription errors found",NA,NA,"tower","basePlot"
"HARV","20151022","HARV_052",41,NA,"10340",NA,NA,NA,NA,"ACSAS","","smt","No transcription errors found",NA,NA,"tower","basePlot"
"HARV","20151022","HARV_052",41,NA,"10341",NA,NA,NA,NA,"TSCA","","smt","No transcription errors found",NA,NA,"tower","basePlot"
