"","siteID","plotID","subplotID","nestedsubplotid","tagID","treeID","dbh.16","measurementHeight.16","stemStatus.16","growthForm"
"16191","GRSM","GRSM_049",21,"1","00785","GRSM_049_00785",59.4,130,1,"sbt"
"16192","GRSM","GRSM_049",21,"1","00786","GRSM_049_00786",2.1,130,4,"smt"
"16193","GRSM","GRSM_049",21,"1","00788","GRSM_049_00788",10,130,4,"smt"
"16194","GRSM","GRSM_049",21,"1","00789","GRSM_049_00789",5.5,130,1,"sis"
"16195","GRSM","GRSM_049",21,"1","00792","GRSM_049_00792",5.3,130,4,"smt"
"16196","GRSM","GRSM_049",21,"1","00794","GRSM_049_00794",31.6,130,1,"sbt"
"16197","GRSM","GRSM_049",21,"1","00795","GRSM_049_00795",3.7,130,1,"sis"
"16198","GRSM","GRSM_049",21,"1","00796","GRSM_049_00796",17.5,130,1,"sbt"
"16199","GRSM","GRSM_049",21,"1","00797","GRSM_049_00797",50,130,1,"sbt"
"16200","GRSM","GRSM_049",21,"1","00798","GRSM_049_00798",19.8,130,1,"sbt"
"16201","GRSM","GRSM_049",21,"1","00799","GRSM_049_00799",40.7,130,1,"sbt"
"16202","GRSM","GRSM_049",21,"1","00800","GRSM_049_00800",33.3,130,1,"sbt"
"16203","GRSM","GRSM_049",21,"1","00807","GRSM_049_00807",10,130,2,"sbt"
"16204","GRSM","GRSM_049",21,"2","00801","GRSM_049_00801",41.5,130,1,"sbt"
"16205","GRSM","GRSM_049",21,"2","00802","GRSM_049_00802",40,130,1,"sbt"
"16206","GRSM","GRSM_049",21,"2","00803","GRSM_049_00803",15.2,130,1,"sbt"
"16207","GRSM","GRSM_049",21,"2","00804","GRSM_049_00804",13.2,130,1,"sbt"
"16208","GRSM","GRSM_049",21,"2","00805","GRSM_049_00805",18.1,130,1,"sbt"
"16209","GRSM","GRSM_049",21,"2","00806","GRSM_049_00806",22.7,130,2,"sbt"
"16210","GRSM","GRSM_049",21,"3","00808","GRSM_049_00808",20.4,130,1,"sbt"
"16211","GRSM","GRSM_049",21,"3","00809","GRSM_049_00809",38.2,130,1,"sbt"
"16212","GRSM","GRSM_049",21,"3","00810","GRSM_049_00810",12.8,130,4,"sbt"
"16213","GRSM","GRSM_049",21,"3","00811","GRSM_049_00811",20.1,130,1,"sbt"
"16214","GRSM","GRSM_049",21,"3","00812","GRSM_049_00812",18.1,130,1,"sbt"
"16215","GRSM","GRSM_049",21,"4","00813","GRSM_049_00813",38.4,130,1,"mbt"
"16216","GRSM","GRSM_049",21,"4","00813A","GRSM_049_00813A",30,130,1,"mbt"
"16217","GRSM","GRSM_049",21,"4","00814","GRSM_049_00814",11,130,1,"sbt"
"16218","GRSM","GRSM_049",21,"4","00815","GRSM_049_00815",32,130,2,"sbt"
"16219","GRSM","GRSM_049",21,"4","00816","GRSM_049_00816",40.9,130,1,"sbt"
"16220","GRSM","GRSM_049",21,"4","00817","GRSM_049_00817",50.7,130,1,"sbt"
"16221","GRSM","GRSM_049",21,"4","00818","GRSM_049_00818",17.9,130,1,"sbt"
"16222","GRSM","GRSM_049",21,"4","00819","GRSM_049_00819",6.6,130,5,"smt"
"16223","GRSM","GRSM_049",21,"4","00819","GRSM_049_00819",2.5,130,5,"smt"
"16224","GRSM","GRSM_049",21,"4","00821","GRSM_049_00821",9.3,130,4,"smt"
"16225","GRSM","GRSM_049",21,"4","00822","GRSM_049_00822",6.2,130,1,"smt"
"16226","GRSM","GRSM_049",21,"4","00823","GRSM_049_00823",24.8,130,1,"mbt"
"16227","GRSM","GRSM_049",21,"4","00823A","GRSM_049_00823A",17.4,130,2,"mbt"
"16228","GRSM","GRSM_049",21,"4","00824","GRSM_049_00824",9.5,130,1,"smt"
"16229","GRSM","GRSM_049",39,"1","00791","GRSM_049_00791",1.9,130,1,"smt"
"16230","GRSM","GRSM_049",39,"1","00793","GRSM_049_00793",1,130,1,"smt"
"16231","GRSM","GRSM_049",39,"1","00826","GRSM_049_00826",4.7,130,1,"smt"
"16232","GRSM","GRSM_049",39,"1","00827","GRSM_049_00827",2.3,130,1,"smt"
"16233","GRSM","GRSM_049",39,"1","00828","GRSM_049_00828",1.1,130,1,"smt"
"16234","GRSM","GRSM_049",39,"1","00829","GRSM_049_00829",1,130,1,"smt"
"16235","GRSM","GRSM_049",39,"1","00830","GRSM_049_00830",1.6,130,1,"smt"
"16236","GRSM","GRSM_049",39,"1","00832","GRSM_049_00832",1.5,130,1,"smt"
"16237","GRSM","GRSM_049",39,"1","00833","GRSM_049_00833",3,130,1,"smt"
"16238","GRSM","GRSM_049",39,"1","00834","GRSM_049_00834",2,130,1,"smt"
"16239","GRSM","GRSM_049",39,"1","00835","GRSM_049_00835",7.2,130,4,"smt"
"16240","GRSM","GRSM_049",39,"1","00835","GRSM_049_00835",8.3,130,4,"smt"
"16241","GRSM","GRSM_049",39,"1","00838","GRSM_049_00838",1.5,130,1,"smt"
"16242","GRSM","GRSM_049",39,"1","00839","GRSM_049_00839",2.3,130,4,"smt"
"16243","GRSM","GRSM_049",39,"1","00840","GRSM_049_00840",1.4,130,1,"sis"
"16244","GRSM","GRSM_049",39,"1","00842","GRSM_049_00842",12,130,4,"sbt"
"16245","GRSM","GRSM_049",39,"1","00843","GRSM_049_00843",10.4,130,4,"sbt"
"16246","GRSM","GRSM_049",39,"1","00844","GRSM_049_00844",23.2,130,1,"sbt"
"16247","GRSM","GRSM_049",39,"1","00845","GRSM_049_00845",10.2,130,4,"sbt"
"16248","GRSM","GRSM_049",39,"1","00846","GRSM_049_00846",15,130,1,"sbt"
"16249","GRSM","GRSM_049",39,"1","00847","GRSM_049_00847",11.7,130,1,"sbt"
"16250","GRSM","GRSM_049",39,"2","00848","GRSM_049_00848",21.2,130,1,"sbt"
"16251","GRSM","GRSM_049",39,"2","00850","GRSM_049_00850",32.7,130,1,"sbt"
"16252","GRSM","GRSM_049",39,"2","00851","GRSM_049_00851",10.4,130,1,"sbt"
"16253","GRSM","GRSM_049",39,"2","00853","GRSM_049_00853",16.3,130,2,"sbt"
"16254","GRSM","GRSM_049",39,"2","00854","GRSM_049_00854",15.3,130,1,"sbt"
"16255","GRSM","GRSM_049",39,"4","00857","GRSM_049_00857",17.4,130,1,"sbt"
"16256","GRSM","GRSM_049",39,"3","00860","GRSM_049_00860",13.3,130,1,"sbt"
"16257","GRSM","GRSM_049",39,"3","00861","GRSM_049_00861",17.4,130,1,"sbt"
"16258","GRSM","GRSM_049",39,"3","00862","GRSM_049_00862",54.8,130,1,"sbt"
"16259","GRSM","GRSM_049",39,"3","00863","GRSM_049_00863",14.5,130,1,"sbt"
"16260","GRSM","GRSM_049",39,"3","00864","GRSM_049_00864",31.2,130,1,"sbt"
"16261","GRSM","GRSM_049",39,"3","00865","GRSM_049_00865",14.7,130,1,"sbt"
"16262","GRSM","GRSM_049",39,"3","00866","GRSM_049_00866",4.5,130,2,"smt"
"16263","GRSM","GRSM_049",39,"3","00867","GRSM_049_00867",32,130,1,"sbt"
"16264","GRSM","GRSM_049",39,"3","00868","GRSM_049_00868",4.7,130,1,"smt"
"16265","GRSM","GRSM_049",39,"3","00869","GRSM_049_00869",5,130,4,"smt"
"16266","GRSM","GRSM_049",39,"3","00871","GRSM_049_00871",10.4,130,4,"sbt"
