"","siteID","plotID","subplotID","nestedSubplotID","tagID","treeID","dbh.15","measurementHeight.15","stemStatus.15","growthForm"
"9259","GRSM","GRSM_047",21,4,"1243","GRSM_047_1243",1.6,130,1,NA
"9260","GRSM","GRSM_047",21,4,"1245","GRSM_047_1245",13.2,130,1,NA
"9261","GRSM","GRSM_047",21,4,"1249","GRSM_047_1249",2.3,130,1,NA
"9262","GRSM","GRSM_047",21,4,"1250","GRSM_047_1250",41,130,1,NA
"9263","GRSM","GRSM_047",21,4,"1251","GRSM_047_1251",12,130,1,NA
"9264","GRSM","GRSM_047",21,4,"1255","GRSM_047_1255",4.6,130,1,NA
"9265","GRSM","GRSM_047",21,4,"1257","GRSM_047_1257",1.6,130,1,NA
"9266","GRSM","GRSM_047",21,4,"1261","GRSM_047_1261",27,130,1,NA
"9267","GRSM","GRSM_047",21,4,"1263","GRSM_047_1263",2.3,130,1,NA
"9268","GRSM","GRSM_047",21,4,"1264","GRSM_047_1264",33,130,2,NA
"9269","GRSM","GRSM_047",21,4,"1266","GRSM_047_1266",3.6,130,1,NA
"9270","GRSM","GRSM_047",21,4,"1268","GRSM_047_1268",15.5,130,1,NA
"9271","GRSM","GRSM_047",21,4,"1269","GRSM_047_1269",35.2,130,1,NA
"9272","GRSM","GRSM_047",21,4,"1270","GRSM_047_1270",32.6,130,1,NA
"9273","GRSM","GRSM_047",21,NA,"1271","GRSM_047_1271",13,130,1,NA
"9274","GRSM","GRSM_047",21,NA,"1272","GRSM_047_1272",21.2,130,1,NA
"9275","GRSM","GRSM_047",21,NA,"1273","GRSM_047_1273",10.5,130,1,NA
"9276","GRSM","GRSM_047",21,3,"1274","GRSM_047_1274",15.4,130,1,NA
"9277","GRSM","GRSM_047",21,NA,"1275","GRSM_047_1275",11.1,130,1,NA
"9278","GRSM","GRSM_047",21,4,"1276","GRSM_047_1276",17.4,130,5,NA
"9279","GRSM","GRSM_047",21,4,"1277","GRSM_047_1277",15,130,1,NA
"9280","GRSM","GRSM_047",21,4,"1278","GRSM_047_1278",17.6,130,1,NA
"9281","GRSM","GRSM_047",21,4,"1279","GRSM_047_1279",10.1,130,1,NA
"9282","GRSM","GRSM_047",21,4,"1280","GRSM_047_1280",18.5,130,1,NA
