"","taxonID","treeID","siteID","plotID","subplotID","nestedSubplotID","tagID","dbh.15","measurementHeight.15","stemStatus.15","growthForm","dbh.16","flag","tree.easting","tree.northing","jenkins_model","beta_one","beta_two"
"1","2Plant","SERC_051_5614","SERC","SERC_051",39,NA,"5614",19,130,2,"sbt",NA,NA,364790.403036171,4304968.07192151,NA,NA,NA
"2","2Plant","SERC_051_5614","SERC","SERC_051",39,NA,"5614",19,130,2,NA,NA,NA,364790.403036171,4304968.07192151,NA,NA,NA
"3","2PLANT","SCBI_045_3294","SCBI","SCBI_045",39,NA,"3294",14.6,130,2,"sbt",14.5,TRUE,748108.635906175,4308547.33812498,NA,NA,NA
"4","2PLANT","SCBI_045_3294","SCBI","SCBI_045",39,NA,"3294",14.6,130,2,"sbt",14.5,TRUE,748108.635906175,4308547.33812498,NA,NA,NA
"5","2PLANT","SCBI_045_3294","SCBI","SCBI_045",39,NA,"3294",14.6,130,2,NA,14.5,TRUE,748108.635906175,4308547.33812498,NA,NA,NA
"6","2PLANT","SCBI_045_3294","SCBI","SCBI_045",39,NA,"3294",14.6,130,2,NA,14.5,TRUE,748108.635906175,4308547.33812498,NA,NA,NA
"7","2PLANT","GRSM_047_1264","GRSM","GRSM_047",21,4,"1264",33,130,2,NA,32.7,TRUE,273198.057195777,3952197.82012018,NA,NA,NA
"8","2PLANT","GRSM_047_1290","GRSM","GRSM_047",21,NA,"1290",23,130,2,NA,23,FALSE,273175.57034478,3952183.58499352,NA,NA,NA
"9","2PLANT","GRSM_047_1325","GRSM","GRSM_047",39,1,"1325",16.9,130,2,NA,16.5,TRUE,273194.084953463,3952225.27675853,NA,NA,NA
"10","2PLANT","SCBI_067_2363","SCBI","SCBI_067",41,NA,"2363",36,130,2,"sbt",NA,NA,748440.514048941,4308907.71664659,NA,NA,NA
"11","2PLANT","SCBI_067_2363","SCBI","SCBI_067",41,NA,"2363",36,130,2,NA,NA,NA,748440.514048941,4308907.71664659,NA,NA,NA
"12","2PLANT","SCBI_067_2374","SCBI","SCBI_067",39,NA,"2374",50.9,130,2,NA,50.9,FALSE,748439.250288605,4308906.47991514,NA,NA,NA
"13","2PLANT","SCBI_067_2374","SCBI","SCBI_067",39,NA,"2374",50.9,130,2,NA,50.9,FALSE,748439.250288605,4308906.47991514,NA,NA,NA
"14","2PLANT","SCBI_067_2374","SCBI","SCBI_067",39,NA,"2374",50.9,130,2,"sbt",50.9,FALSE,748439.250288605,4308906.47991514,NA,NA,NA
"15","2PLANT","SCBI_067_2374","SCBI","SCBI_067",39,NA,"2374",50.9,130,2,"sbt",50.9,FALSE,748439.250288605,4308906.47991514,NA,NA,NA
"16","2PLANT","GRSM_049_806","GRSM","GRSM_049",21,2,"806",22.3,130,2,NA,22.7,FALSE,274031.519581177,3952150.47532419,NA,NA,NA
"17","2PLANT","SCBI_048_2773","SCBI","SCBI_048",39,NA,"2773",15.7,130,2,NA,15.6,TRUE,748376.835067234,4308750.99329873,NA,NA,NA
"18","2PLANT","SCBI_048_2773","SCBI","SCBI_048",39,NA,"2773",15.7,130,2,NA,15.6,TRUE,748376.835067234,4308750.99329873,NA,NA,NA
"19","2PLANT","SCBI_048_2773","SCBI","SCBI_048",39,NA,"2773",15.7,130,2,"sbt",15.6,TRUE,748376.835067234,4308750.99329873,NA,NA,NA
"20","2PLANT","GRSM_051_2063","GRSM","GRSM_051",41,3,"2063",18.3,130,2,NA,20.8,FALSE,273147.362349912,3952307.87601259,NA,NA,NA
"21","2PLANT","SCBI_048_2790","SCBI","SCBI_048",41,NA,"2790",23,130,2,NA,21.5,TRUE,748429.698374322,4308780.99399457,NA,NA,NA
"22","2PLANT","SCBI_048_2790","SCBI","SCBI_048",41,NA,"2790",23,130,2,NA,21.5,TRUE,748429.698374322,4308780.99399457,NA,NA,NA
"23","2PLANT","SCBI_048_2790","SCBI","SCBI_048",41,NA,"2790",23,130,2,"sbt",21.5,TRUE,748429.698374322,4308780.99399457,NA,NA,NA
"24","2PLANT","SCBI_048_2790","SCBI","SCBI_048",41,NA,"2790",23,130,2,"sbt",21.5,TRUE,748429.698374322,4308780.99399457,NA,NA,NA
"25","2PLANT","GRSM_052_559","GRSM","GRSM_052",21,4,"559",1.6,130,2,NA,1.5,TRUE,NA,NA,NA,NA,NA
"26","2PLANT","GRSM_054_453","GRSM","GRSM_054",21,1,"453",71,130,2,NA,70,TRUE,273582.152043368,3952597.20856194,NA,NA,NA
"27","2PLANT","GRSM_055_1921","GRSM","GRSM_055",41,2,"1921",64.2,130,2,NA,62.9,TRUE,273555.788697232,3951937.1314596,NA,NA,NA
"28","2PLANT","GRSM_055_1933","GRSM","GRSM_055",41,3,"1933",37.5,130,1,NA,NA,NA,273567.655677166,3951972.1855541,NA,NA,NA
