"","siteid","plotid_mean","npp_mean","filename_mean","transectID_mean","mean.height_mean","height.2_mean","mean.height.var_mean","mean.height.rms_mean","transect.length_mean","mode.el_mean","max.el_mean","mode.2_mean","max.can.ht_mean","mean.max.ht_mean","mean.vai_mean","mean.peak.vai_mean","deep.gaps_mean","deep.gap.fraction_mean","porosity_mean","std.std_mean","mean.std_mean","rugosity_mean","top.rugosity_mean","plot_1_mean","mean.return.ht_mean","sd.return.ht_mean","sky.fraction_mean","cover.fraction_mean","max.ht_mean","scan.density_mean","rumple_mean","clumping.index_mean","enl_mean","plotid_sd","npp_sd","filename_sd","transectID_sd","mean.height_sd","height.2_sd","mean.height.var_sd","mean.height.rms_sd","transect.length_sd","mode.el_sd","max.el_sd","mode.2_sd","max.can.ht_sd","mean.max.ht_sd","mean.vai_sd","mean.peak.vai_sd","deep.gaps_sd","deep.gap.fraction_sd","porosity_sd","std.std_sd","mean.std_sd","rugosity_sd","top.rugosity_sd","plot_1_sd","mean.return.ht_sd","sd.return.ht_sd","sky.fraction_sd","cover.fraction_sd","max.ht_sd","scan.density_sd","rumple_sd","clumping.index_sd","enl_sd","siteid","no","siteid","n_mean","richness_mean","simpsons.taxon_mean","shannon.taxon_mean","simpsons.genus_mean","shannon.genus_mean","simpsons.fam_mean","shannon.fam_mean","genus.rich_mean","family.rich_mean"
"1","BART",NA,4.43688844950602,NA,NA,9.03777220172222,3.24204205811111,10.7722578580556,9.59951989372222,40,8.78472222222222,6.20390243038889,4.63373731055556,21.2473888888889,13.2819430555556,7.4210240615,3.07095669311111,0,0,0.646641473388889,232.113310202222,10.9949782275,9.60285213122222,4.39537211872222,NA,5.96874883361111,3.55597513172222,2.59614245433333,97.4038575466667,21.3082777777778,323.804166666667,4.4375,0.852914926611111,15.6528970561111,5.77638872191499,3.76061502825303,NA,NA,0.776246675480468,0.233811829267244,1.66039860292763,0.775741809495311,0,1.03935632680716,0.926169891836469,0.440522949680846,1.29359288489534,1.35744638024262,0.326146371100463,0.217001719353225,0,0,0.0318440823218561,96.1694980035421,2.81851049083997,1.90815059843171,0.620789545454354,NA,0.623829810255518,0.410227417657546,1.77172586091639,1.77172586189646,1.30225294379764,8.35366644387694,0.552965490183007,0.0248367217312865,1.44363599586892,"BART",6,"BART",164.666666666667,9.46666666666667,0.681298026990143,1.39981691054459,0.653206323198116,1.26230946351816,0.645066562672464,1.21159517153547,7.2,5.46666666666667
"2","GRSM",NA,10.8929494538215,NA,NA,12.9562706811296,5.96920443237037,37.2934172038889,14.2838611336111,39.9074074074074,12.6006018521296,7.14268153417593,8.20041957540741,32.8496851851852,20.2037379168519,6.96009580366667,3.03545627493519,0,0,0.73032321537037,2080.05685881296,29.6769941782407,30.4041864276852,8.42817237591667,NA,8.88419035790741,6.62176355668518,6.24261480914815,93.7573851907407,32.8496851851852,615.312685184259,7.09078703706481,0.914024468092593,24.5588344782407,5.17472489875334,4.88659429099339,NA,NA,2.49906039662499,0.995231617247907,12.0651363380199,2.54451424160491,2.58348267190809,2.58196325518433,0.601930776309665,1.26770908100575,3.86330312438258,2.58495839924946,0.43651483778695,0.332702026565094,0,0,0.0485511233100445,1059.16370062697,7.60469330459766,8.97189037165274,1.66976224229355,NA,2.40154576127091,1.14630827464321,4.62709759321464,4.62709759383985,3.86330312438258,50.9462548387991,1.7878315354299,0.0148438068341231,2.82828728473939,"GRSM",9,"GRSM",116,15.8,0.666379121334025,1.59904176133464,0.646954344607518,1.4561419043355,0.651391923538036,1.45357913851214,12.8,11.2
"3","HARV",NA,4.15963613130071,NA,NA,9.89345264015278,3.76564909548611,14.8685279925139,10.608452094875,40,10.0309027777778,6.73673842340278,5.11577111991667,22.0761527777778,13.4407621527778,7.57110975654167,3.44381590951389,0,0,0.675874805013889,339.786663208194,11.6575706743333,12.0938716996111,4.90576911494444,NA,6.76593165170833,4.30873075344444,1.56037337411111,98.4396266265278,22.2188194444444,329.107638888889,4.49722222222222,0.85726053075,16.0025130586111,6.38357266740185,3.39578049729033,NA,NA,1.54119750279876,0.688473915677467,4.77752069194888,1.48841793645357,0,1.7226730557074,0.740407433276444,1.07826489920414,2.32308071477625,2.14804199375828,0.237556699960649,0.291488821758613,0,0,0.0584322484058325,253.671923073844,4.81254623003653,4.84956661591735,1.12688747942651,NA,1.36211637762855,0.754229132935605,1.02690290078949,1.02690290048995,2.1894004361906,21.5731494221186,0.813051159861536,0.0574002976752815,2.45368655828785,"HARV",12,"HARV",301.842105263158,12.4736842105263,0.673619358068156,1.46399229785114,0.658332329063248,1.35278338310429,0.61551851673521,1.18811371773227,9.26315789473684,6.68421052631579
"4","OSBS",NA,0.80461836170781,NA,NA,6.25596581055702,5.07930259517105,26.9973254544737,8.1351905441886,40.4385964912281,6.03662280700877,6.27840041564912,5.04485642205263,15.7469473684211,6.90451323828947,2.63780418938158,1.51740937301754,15.359649122807,0.383055555570175,0.859385569385965,7.54317581376754,1.10972233703509,1.96087073273684,5.54314590451316,NA,9.16200395473684,2.84897226943421,55.8474032171053,44.1525967828947,16.9789473684211,310.603866958772,3.07413742688596,0.938520546364035,10.1067370038816,5.871429486124,0.594233957386137,NA,NA,1.57611903029637,0.850370823282249,8.87653670768713,1.48799492081027,2.21123012404148,1.5504573815853,0.956405179354534,0.868408139428008,2.26543671766999,1.85348683941696,0.891178210046118,0.503932425030661,5.47786318332529,0.141384704882065,0.0428230281424972,9.09647508376175,0.644556053537489,1.00516230486294,0.894268521483779,NA,1.57365045693456,0.635523948249073,13.7625755661257,13.7625755661257,5.73026654979015,168.170984766696,0.402276240456982,0.0236086383861055,2.0044339264273,"OSBS",19,"OSBS",95.6,3.75,0.294991939336471,0.478881953505303,0.288226371420372,0.448432572061671,0.291973572747733,0.460582944777437,3.5,3.45
"5","SCBI",NA,4.87845669954708,NA,NA,12.9999861383333,6.02175384116667,36.9750765191667,14.3256332869444,40,12.4784722222222,6.353349203,8.11501695738889,30.0430277777778,19.7289868055556,6.83601453397222,3.08572451855556,0.25,0.00625,0.745894272027778,1361.46668281944,24.8501839316667,23.8924838491667,6.786198175,NA,10.0458801945278,6.97602252602778,5.34986925813889,94.6501307419444,30.0836944444444,393.632638888889,5.11319444444444,0.9270385635,22.9307036991667,7.3143694191639,2.6329665176933,NA,NA,0.859874451363072,0.560300949567608,6.78580217012204,0.878248768951569,0,0.798007138764133,0.388501339932778,1.09524042488317,2.61112929467664,2.3383809413341,0.122083113639401,0.116227621235205,0.612372435695794,0.0153093108923949,0.0162453633767378,912.360238791728,9.74083346364118,7.64662095610768,0.74733604007212,NA,1.00786753775956,1.0096674029246,1.21837375516415,1.21837375404634,2.58134005555398,55.3989148520294,0.571258458888664,0.0252187452218784,1.55853895717784,"SCBI",6,"SCBI",113.666666666667,16.6666666666667,0.727843576341998,1.8677238355267,0.695207279714076,1.65097951586181,0.699619802708595,1.62561788092984,12.1666666666667,9.83333333333333
"6","TALL",NA,2.23184845992865,NA,NA,13.9693079112545,5.67109812498485,36.8047309069758,15.2015954906848,39.9393939393939,13.5991464645455,6.07880545686667,6.4910473057697,26.2599606060606,17.8243664797576,4.74853685755758,2.13282648257576,2.8030303030303,0.0704292929393939,0.751394754290909,394.038730397333,10.7172376456545,12.6207192245697,6.39701174991818,NA,12.9924316876545,5.20029755321212,29.5139678888182,70.4860321110303,26.6587787878788,692.459560605454,4.46647474748485,0.891049604227273,17.822716935303,5.64398311961911,1.94882129559515,NA,NA,2.87631474568684,1.70427720848199,19.5472630305817,3.22516762457653,2.22020110109263,2.72083481114229,1.08305152973348,1.69159318787897,5.0326339263919,3.43369538260845,1.5255782129347,0.726888862301752,2.99148623580151,0.0773028519704254,0.0684757758424899,403.083236610347,6.3180034415699,7.32754511725104,1.79770188807557,NA,3.94302172777353,1.50854388702381,19.0551951991502,19.05519519893,4.90044733768193,144.818951181019,0.881594051611906,0.0463969770419925,4.82278675993699,"TALL",11,"TALL",113.833333333333,18.25,0.653961124553715,1.56697984736237,0.478297389961609,1.06900957925291,0.480577169592938,1.06929266914941,9.66666666666667,8.83333333333333
"7","TREE",NA,4.76764416034585,NA,NA,11.3623829205714,5.26888673980952,28.9184857257143,12.6161010954286,40,11.1464285714286,6.22823351819048,5.76966647728571,22.9760476190476,13.7702297619048,4.51385889385714,2.17163533090476,5.23809523809524,0.130952380952381,0.779354835809524,157.882023005238,6.63302679742857,9.21634350595238,6.25732255261905,NA,10.4770987787619,4.3583509352381,35.8293319648571,64.1706680352381,22.9881428571429,619.910714285714,4.25714285714286,0.915567776809524,15.3778871090476,5.96816953672126,2.46634645505155,NA,NA,2.72562353597538,0.749607570326089,7.83663659171916,2.45569393079407,0,2.91485601394144,0.786306521311779,0.630190246477626,4.79722944126809,2.86267407666497,1.62328059715937,0.806650433012559,2.92950688376228,0.073237672094057,0.0383036493052019,90.9698781867491,2.40195337652156,3.05389445364411,1.05443081789405,NA,2.23374941144091,0.458043534147932,14.5589412523148,14.5589412523866,4.82802892016693,118.974057601963,0.548808232619078,0.023318098259094,1.52274975174916,"TREE",7,"TREE",66.4,7.5,0.530638641738863,1.06755590642151,0.361323983402239,0.752278462596392,0.327346033821971,0.600021705990369,6.2,4
"8","UNDE",NA,2.89210766826664,NA,NA,11.8210859682619,4.36894479194048,20.3496591875119,12.6688310591905,40.1190476190476,11.6473611108333,6.7678104539881,5.52118189685714,22.9367261904762,15.6889021822619,6.12256404482143,2.89142887569048,0.571428571428571,0.0133333333333333,0.714921057607143,299.392443380119,10.6683730784405,12.0978338146429,4.81563343032143,NA,9.13285187488095,5.05047660892857,14.011746255131,85.9882537452381,23.0835833333333,592.778075394048,4.39444444444048,0.877577947892857,16.5048552285714,4.37525509460387,0.970632707468432,NA,NA,4.22375884363277,0.883027912307168,7.30749183579413,4.10252073117811,2.56528513633238,4.42325976033176,0.730505389917852,1.09200370829441,2.23264498239066,4.1711339144754,0.728642777994433,0.353843556448601,0.534522483824849,0.011941214033447,0.0146673326866165,163.163976888047,3.48611481822185,3.23217676981315,1.3050344435876,NA,3.54904083893,0.926021785152171,7.14683220313485,7.14683220339062,2.25588886819545,78.152384697196,1.44820898325082,0.0693912849611895,3.18230082001366,"UNDE",7,"UNDE",136.5,9,0.486304768757187,1.03125468664694,0.418467735605642,0.798842600464686,0.412029705696222,0.762440420291326,7.375,5.5
