"","siteID","date","plotID","subplotID","nestedSubplotID","tagID","supportingStemTagID","pointID","stemAzimuth","stemDistance","taxonID","identificationQualifier","growthForm","remarks","measurementHeight","scientificName","plotType","subtype","decimalLatitude","decimalLongitude","geodeticDatum","utmZone","easting","northing","coordinateUncertainty","coordinateSource","elevation","elevationUncertainty","nlcdClass","monumentType","applicableModules","x","y","tree.easting","tree.northing","stemDiameter","basalDiameter","basalDiameterHeight","stemStatus","VD1height","VD2height","maxCanopyDiameter","ninetyCanopyDiameter","canopyPosition","shrubShape","maxBaseCanopyDiameter","ninetyBaseCanopyDiameter","nestedSubplotArea1","nestedSubplotArea2"
"1","HARV",20150522,"BART_034",41,3,"804","",51,85.2,7.6,"PIRU","","sbt","",NA,NA,"tower","basePlot",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.06628105186286,-2.79779772251031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","HARV",20150522,"BART_034",41,3,"803","",51,66.4,8.6,"TSCA","","sbt","",NA,NA,"tower","basePlot",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.82941224830245,-3.55813207260939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","HARV",20150522,"BART_034",41,NA,"802","",51,346.8,3.1,"BEAL2","","sbt","",NA,NA,"tower","basePlot",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05129215965779,2.91629641755465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","HARV",20150522,"BART_034",41,NA,"801","",51,282.2,2.3,"PIRU","","sbt","No transcription errors",NA,NA,"tower","basePlot",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.96877077777604,-1.18909277374607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","HARV",20150522,"BART_034",41,NA,"371","",50,114.8,9.3,"FAGR","","sbt","",NA,NA,"tower","basePlot",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.22282255008759,9.21925729172352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","HARV",20150522,"BART_034",41,NA,"367","",42,331,4.5,"TSCA","","sbt","",NA,NA,"tower","basePlot",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.90868269081561,-4.0751601668868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","HARV",20150522,"BART_034",21,4,"805","",32,352.6,8.6,"ACRU","","mbt","",NA,NA,"tower","basePlot",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.34141084272649,5.80917451310863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","HARV",20151002,"HARV_043",21,4,"9538","",NA,NA,NA,"TSCA","","sap","",NA,NA,"tower","basePlot",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","HARV",20151002,"HARV_043",21,4,"9537","",NA,NA,NA,"TSCA","","sap","",NA,NA,"tower","basePlot",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","HARV",20151002,"HARV_043",21,NA,"9554","",23,279.4,3.3,"ACRU","cf. genus","sbt","dead",NA,NA,"tower","basePlot",42.540868,-72.176589,"WGS84","18N",731845.843,4713694.962,0.22,"GeoXH 6000",358.52,0.37,"evergreenForest",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst",-3.23306997264633,0.661255285024361,731842.609930027,4713695.62325529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","HARV",20151002,"HARV_043",39,1,"9553","",NA,NA,NA,"TSCA","","sap","",NA,NA,"tower","basePlot",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
